Class Name,Unique,Day + Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
,Unique,(),(),Instruction Mode,Instructor,Status,Flags,Core
UGS  302 YOUTH AND TECHNOLOGY         ,60855,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('SZB 2.814',)",Face-to-face,"HUGHES, JOAN",open,Writing,First-Year Signature Course
UGS  303 CONTESTED ISTANBUL         ,60980,"(('TTH', '12:30 p.m.-2:00 p.m.'), ('F', '1:00 p.m.-2:00 p.m.'))","('PAR 301', 'GAR 0.120')",Face-to-face,"OKUR, JEANNETTE",open,Global Cultures,First-Year Signature Course
UGS  303 CONTESTED ISTANBUL         ,60985,"(('TTH', '12:30 p.m.-2:00 p.m.'), ('F', '2:00 p.m.-3:00 p.m.'))","('PAR 301', 'GAR 0.120')",Face-to-face,"OKUR, JEANNETTE",open,Global Cultures,First-Year Signature Course
UGS  303 CONTESTED ISTANBUL         ,60990,"(('TTH', '12:30 p.m.-2:00 p.m.'), ('F', '3:00 p.m.-4:00 p.m.'))","('PAR 301', 'GAR 0.120')",Face-to-face,"OKUR, JEANNETTE",open,Global Cultures,First-Year Signature Course
UGS  303 CUBAN MUSIC AND SOCIETY         ,61055,"(('TTH', '12:30 p.m.-2:00 p.m.'), ('W', '12:00 p.m.-1:00 p.m.'))","('ART 1.120', 'MAI 220F')",Face-to-face,"MOORE, ROBIN D",open,,First-Year Signature Course
UGS  303 CUBAN MUSIC AND SOCIETY         ,61060,"(('TTH', '12:30 p.m.-2:00 p.m.'), ('W', '1:00 p.m.-2:00 p.m.'))","('ART 1.120', 'MAI 220F')",Face-to-face,"MOORE, ROBIN D",open,,First-Year Signature Course
UGS  303 CUBAN MUSIC AND SOCIETY         ,61065,"(('TTH', '12:30 p.m.-2:00 p.m.'), ('W', '2:00 p.m.-3:00 p.m.'))","('ART 1.120', 'MAI 220F')",Face-to-face,"MOORE, ROBIN D",open,,First-Year Signature Course
UGS  303 DD: QUEER/FEM ILLNESS & DISAB         ,61075,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('PAR 304',)",Face-to-face,"KAFER, ALISON",open,,First-Year Signature Course
UGS  303 SPORTS AND INNOVATION         ,61550,"(('TTH', '12:30 p.m.-2:00 p.m.'), ('F', '8:00 a.m.-9:00 a.m.'))","('JGB 2.324', 'MAI 220C')",Face-to-face,"OZYURTCU, TOLGA",open,,First-Year Signature Course
UGS  303 SPORTS AND INNOVATION         ,61555,"(('TTH', '12:30 p.m.-2:00 p.m.'), ('F', '9:00 a.m.-10:00 a.m.'))","('JGB 2.324', 'MAI 220C')",Face-to-face,"OZYURTCU, TOLGA",open,,First-Year Signature Course
UGS  303 SPORTS AND INNOVATION         ,61560,"(('TTH', '12:30 p.m.-2:00 p.m.'), ('F', '10:00 a.m.-11:00 a.m.'))","('JGB 2.324', 'MAI 220C')",Face-to-face,"OZYURTCU, TOLGA",open,,First-Year Signature Course
UGS  303 SPORTS AND INNOVATION         ,61565,"(('TTH', '12:30 p.m.-2:00 p.m.'), ('F', '11:00 a.m.-12:00 p.m.'))","('JGB 2.324', 'MAI 220C')",Face-to-face,"OZYURTCU, TOLGA",open,,First-Year Signature Course
UGS  303 SPORTS AND INNOVATION         ,61570,"(('TTH', '12:30 p.m.-2:00 p.m.'), ('F', '12:00 p.m.-1:00 p.m.'))","('JGB 2.324', 'MAI 220C')",Face-to-face,"OZYURTCU, TOLGA",open,,First-Year Signature Course
