Class Name,Unique,Day + Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
,Unique,(),(),Instruction Mode,Instructor,Status,Flags,Core
M  408C DIFFEREN AND INTEGRAL CALCULUS         ,53160,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('TTH', '2:00 p.m.-3:00 p.m.'))","('PMA 4.102', 'CPE 2.204')",Face-to-face,,open,Quantitative Reasoning,Mathematics
"M  408D SEQ, SERIES, AND MULTIVAR CALC         ",53195,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('TTH', '11:00 a.m.-12:00 p.m.'))","('RLP 0.130', 'PMA 5.104')",Face-to-face,,open,,
"M  408D SEQ, SERIES, AND MULTIVAR CALC         ",53200,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('TTH', '3:30 p.m.-4:30 p.m.'))","('RLP 0.130', 'ECJ 1.204')",Face-to-face,,open,,
M  408K DIFFERENTIAL CALCULUS         ,53305,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('TTH', '11:30 a.m.-12:30 p.m.'))","('CPE 2.208', 'CPE 2.204')",Face-to-face,,open,Quantitative Reasoning,Mathematics
M  408K DIFFERENTIAL CALCULUS         ,53310,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('TTH', '4:00 p.m.-5:00 p.m.'))","('CPE 2.208', 'ETC 2.136')",Face-to-face,,open,Quantitative Reasoning,Mathematics
M  325K DISCRETE MATHEMATICS         ,53535,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('PMA 5.104',)",Face-to-face,,open,,
M  325K DISCRETE MATHEMATICS-FRI         ,53550,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('PMA 5.114',)",Face-to-face,"VILLAFUERTE ALTUZAR, LAUR",open; reserved,,
M  325K DISCRETE MATHEMATICS: HONORS         ,53555,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","(' ',)",Face-to-face,"STARBIRD, MICHAEL P",cancelled,,
M  329F THEORY OF INTEREST         ,53660,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","(' ',)",Face-to-face,"CEPPARO, GUSTAVO E",cancelled,Quantitative Reasoning,
M  361K INTRODUCTION TO REAL ANALYSIS         ,53820,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('PMA 5.122',)",Face-to-face,,open,,
M  375T ACTUARIAL MODELING/SIMULATION         ,53964,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('PMA 5.118',)",Face-to-face,"CEPPARO, GUSTAVO E",open; reserved,,
M  378K INTRO TO MATHEMATCL STATISTICS         ,53985,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('PMA 7.104',)",Face-to-face,,open,,
M  392C GEOM OF LOCALLY COMPACT GROUPS         ,54090,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('PMA 9.166',)",Face-to-face,"WILKENS, AMANDA",open,,
M E  314D DYNAMICS         ,17980,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('F', '11:00 a.m.-12:00 p.m.'))","('GSB 2.124', 'ETC 7.111')",Face-to-face,"FEY, NICHOLAS P",open; reserved,,
GEO  302Q GEMS AND GEM MINERALS         ,26715,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('W', '3:00 p.m.-5:00 p.m.'))","('JGB 3.120', 'JGB 3.102')",Face-to-face,"BEFUS, KENNETH S",open,,"Natural Science and Technology, Part I"
GER  322E CONV/COMP: CONTEMP CONTROV         ,36785,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('GAR 2.124',)",Face-to-face,"BELGUM, KIRSTEN L",open,Global Cultures,
GOV  303D MID EAST: ADJ/CHG MDRN TIME         ,37210,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('RLP 1.104',)",Face-to-face,"AGHAIE, KAMRAN S",open,Global Cultures,
GOV  312P CONSTITUTNL PRINS: CORE TEXTS         ,37270,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('MEZ 1.216',)",Face-to-face,,open; reserved,EthicsCultural Diversity,American and Texas Government
GOV  335M TOPICS IN POLITICAL THOUGHT         ,37330,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('PAR 1',)",Face-to-face,,open,,
HIS  306J MID EAST: ADJ/CHG MDRN TIME         ,37825,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('RLP 1.104',)",Face-to-face,"AGHAIE, KAMRAN S",open,Global Cultures,
HIS  346J COLONIAL LAT AMER THRU OBJS         ,38090,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('GAR 1.126',)",Face-to-face,"CANIZARES, JORGE",open,Global Cultures,
HIS  355S US CONSTITUTIONAL HISTORY         ,38160,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('GAR 2.128',)",Face-to-face,"FOURMY, SIGNE P",open,Cultural DiversityWriting,U.S. History
I  310D INTRO HUMAN-CENTERED DATA SCI         ,27405,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('BUR 208',)",Face-to-face,"MISHRA, ABHIJIT",open; reserved,,
JPN  610D JAPANESE II         ,32300,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('TTH', '11:00 a.m.-12:30 p.m.'))","('GAR 0.132', 'JES A303A')",Face-to-face,"DUFFEY, KAORI M",open,,
JPN  611D INTERMEDIATE JAPANESE         ,32330,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('TTH', '9:30 a.m.-11:00 a.m.'))","('MEZ 1.122', 'WAG 214')",Face-to-face,"YANAGISAWA, SHOHKO",open,,
KIN  343 CLIN EVAL ATH INJR IN UPR BODY         ,12610,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('M', '11:00 a.m.-12:00 p.m.'))","('BEL 844', 'BEL 844')",Face-to-face,"FARR, BRIAN K",open; reserved,,
KIN  356 REVENUE AND BUDGETING IN SPORT         ,12695,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('BEL 962',)",Face-to-face,"SPARVERO, EMILY",open; reserved,Quantitative Reasoning,
KOR  607 FIRST-YEAR KOREAN II         ,32430,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('TTH', '9:30 a.m.-11:00 a.m.'))","('GDC 2.502', 'JES A307A')",Face-to-face,"KIM, EUN JOO",open,,
LAS  366 20-COLONIAL LAT AMER THRU OBJS         ,38650,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('GAR 1.126',)",Face-to-face,"CANIZARES, JORGE",open,Global Cultures,
LAT  511K ACCELERATED INTERMEDIATE LATIN         ,33220,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('WAG 10',)",Hybrid or Blended,,open,,
E M  319 MECHANICS OF SOLIDS         ,14570,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('TH', '4:00 p.m.-6:00 p.m.'))","('WEL 3.502', 'CMA 3.114')",Face-to-face,,open; reserved,,
E M  319 MECHANICS OF SOLIDS         ,14575,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('TH', '4:00 p.m.-6:00 p.m.'))","('WEL 3.502', 'PMA 5.124')",Face-to-face,,open; reserved,,
E M  319 MECHANICS OF SOLIDS         ,14580,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('W', '6:00 p.m.-8:00 p.m.'))","('WEL 3.502', 'PMA 5.114')",Face-to-face,,open; reserved,,
E M  319 MECHANICS OF SOLIDS         ,14585,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('TH', '6:00 p.m.-8:00 p.m.'))","('WEL 3.502', 'PMA 7.124')",Face-to-face,,open; reserved,,
E M  380 THEORY OF PLASTICITY         ,14635,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('ASE 2.134',)",Face-to-face,"KYRIAKIDES, STELIOS",open,,
