Class Name,Unique,Day + Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
ASE  374L SPACECRAFT/MISSION DESIGN         ,14105,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('M', '3:00 p.m.-6:00 p.m.'))",GLT 1.106ASE 1.112A,Face-to-face,"NOKES, ADAM W",open; reserved,WritingIndependent Inquiry,
BIO  311C INTRODUCTORY BIOLOGY I         ,47400,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('F', '8:30 a.m.-9:30 a.m.'))",GEA 105GDC 5.304,Face-to-face,"SATHASIVAN, K SATA",open,,"Natural Science and Technology, Part I"
BIO  311C INTRODUCTORY BIOLOGY I         ,47405,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('TH', '11:00 a.m.-12:00 p.m.'))",GEA 105,Face-to-face,"SATHASIVAN, K SATA",open,,"Natural Science and Technology, Part I"
BIO  311C INTRODUCTORY BIOLOGY I         ,47410,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('TH', '12:30 p.m.-1:30 p.m.'))",GEA 105ETC 2.114,Face-to-face,"SATHASIVAN, K SATA",open,,"Natural Science and Technology, Part I"
BIO  311C INTRODUCTORY BIOLOGY I         ,47415,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('TH', '2:00 p.m.-3:00 p.m.'))",GEA 105GDC 5.304,Face-to-face,"SATHASIVAN, K SATA",open,,"Natural Science and Technology, Part I"
BIO  311C INTRODUCTORY BIOLOGY I         ,47420,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('TH', '3:30 p.m.-4:30 p.m.'))",GEA 105JGB 2.202,Face-to-face,"SATHASIVAN, K SATA",open,,"Natural Science and Technology, Part I"
BIO  311C INTRODUCTORY BIOLOGY I         ,47425,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('TH', '4:30 p.m.-5:30 p.m.'))",GEA 105JES A207A,Face-to-face,"SATHASIVAN, K SATA",open,,"Natural Science and Technology, Part I"
BIO  311D INTRODUCTORY BIOLOGY II         ,47575,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('F', '9:00 a.m.-10:00 a.m.'))",WEL 2.122GDC 1.406,Face-to-face,"BUSKIRK, RUTH E",open,,"Natural Science and Technology, Part I"
URD  612 ACCELERATED SECOND-YEAR URDU         ,32665,"(('MWF', '10:00 a.m.-11:00 a.m.'), ('TTH', '9:30 a.m.-11:00 a.m.'))",PAR 10GAR 1.134,Face-to-face,"HASSAN, SHAHNAZ",open,,
RTF  308 DEVELOPMENT OF FILM AND MEDIA         ,09170,"(('MWF', '10:00 a.m.-11:00 a.m.'), ('T', '5:00 p.m.-7:30 p.m.'))",CMB 2.102CMA 2.306,Face-to-face,"BRIGGS, RYAN DAVID",open,,
RTF  335 4-QUEER TELEVISION         ,09340,"(('MWF', '10:00 a.m.-11:00 a.m.'), ('M', '5:00 p.m.-7:30 p.m.'))",CMA 6.170CMA 3.120,Face-to-face,"NAULT, CURRAN J",open,Cultural DiversityWriting,
SOC  317L INTRO TO SOCIAL STATISTICS         ,43185,"(('MWF', '10:00 a.m.-11:00 a.m.'), ('W', '12:00 p.m.-1:00 p.m.'))",RLP 0.118JGB 2.202,Face-to-face,"POWERS, DANIEL A",open,Quantitative Reasoning,Mathematics
PHY  317K GENERAL PHYSICS I         ,55885,"(('MWF', '10:00 a.m.-11:00 a.m.'), ('M', '2:00 p.m.-3:00 p.m.'))",PAI 2.48PMA 7.116,Face-to-face,"YAO, ZHEN",closed,Quantitative Reasoning,"Natural Science and Technology, Part I"
PHY  317K GENERAL PHYSICS I         ,55890,"(('MWF', '10:00 a.m.-11:00 a.m.'), ('M', '3:00 p.m.-4:00 p.m.'))",PAI 2.48PMA 7.116,Face-to-face,"YAO, ZHEN",open,Quantitative Reasoning,"Natural Science and Technology, Part I"
PHY  317K GENERAL PHYSICS I         ,55895,"(('MWF', '10:00 a.m.-11:00 a.m.'), ('M', '4:00 p.m.-5:00 p.m.'))",PAI 2.48PMA 7.116,Face-to-face,"YAO, ZHEN",open,Quantitative Reasoning,"Natural Science and Technology, Part I"
PHY  317K GENERAL PHYSICS I         ,55900,"(('MWF', '10:00 a.m.-11:00 a.m.'), ('M', '5:00 p.m.-6:00 p.m.'))",PAI 2.48PMA 7.116,Face-to-face,"YAO, ZHEN",open,Quantitative Reasoning,"Natural Science and Technology, Part I"
PHY  317L GENERAL PHYSICS II         ,55985,"(('MWF', '10:00 a.m.-11:00 a.m.'), ('W', '5:00 p.m.-6:00 p.m.'))",PAI 4.42WEL 2.310,Face-to-face,"LOVERIDGE, ANDREW J",open,Quantitative Reasoning,"Natural Science and Technology, Part I"
PHY  317L GENERAL PHYSICS II         ,55990,"(('MWF', '10:00 a.m.-11:00 a.m.'), ('W', '6:00 p.m.-7:00 p.m.'))",PAI 4.42WEL 2.310,Face-to-face,"LOVERIDGE, ANDREW J",open,Quantitative Reasoning,"Natural Science and Technology, Part I"
PHY  317L GENERAL PHYSICS II         ,55995,"(('MWF', '10:00 a.m.-11:00 a.m.'), ('W', '7:00 p.m.-8:00 p.m.'))",PAI 4.42WEL 2.310,Face-to-face,"LOVERIDGE, ANDREW J",open,Quantitative Reasoning,"Natural Science and Technology, Part I"
